time,timestamp,open,high,low,close,volume
2026-08-22T14:00:00+00:00,1787407200,77277.3,77323.64,76914.72,76995.59,190.59236459
2026-08-22T15:00:00+00:00,1787410800,76995.59,77093.83,76868.0,76970.55,199.3192583
2026-08-22T16:00:00+00:00,1787414400,76970.56,77559.46,76941.0,77272.07,270.55543112
2026-08-22T17:00:00+00:00,1787418000,77272.08,77379.04,77062.99,77270.52,145.81042274
2026-08-22T18:00:00+00:00,1787421600,77270.52,77362.23,77133.95,77261.92,113.14118318
2026-08-22T19:00:00+00:00,1787425200,77261.91,77476.25,77196.73,77417.02,150.4291407
2026-08-22T20:00:00+00:00,1787428800,77417.01,77473.45,77259.12,77312.98,103.19622605
2026-08-22T21:00:00+00:00,1787432400,77312.98,77312.98,76820.0,76847.37,202.61089568
2026-08-22T22:00:00+00:00,1787436000,76847.37,77155.14,76767.01,76989.45,189.04133044
2026-08-22T23:00:00+00:00,1787439600,76989.45,77125.8,76885.14,77054.44,173.25397501
2026-08-23T00:00:00+00:00,1787443200,77054.44,77359.6,76888.9,77287.45,193.59478909
2026-08-23T01:00:00+00:00,1787446800,77287.44,77408.73,77150.65,77184.53,128.40652952
2026-08-23T02:00:00+00:00,1787450400,77184.54,77222.58,76992.1,77064.69,103.61143571
2026-08-23T03:00:00+00:00,1787454000,77064.68,77133.44,76824.02,76914.73,101.25840958
2026-08-23T04:00:00+00:00,1787457600,76914.73,77028.04,76477.5,76599.43,209.03805352
2026-08-23T05:00:00+00:00,1787461200,76599.44,76724.7,75538.12,76048.57,520.62522616
2026-08-23T06:00:00+00:00,1787464800,76048.57,76357.98,75869.02,76090.82,191.97902345
2026-08-23T07:00:00+00:00,1787468400,76090.82,76342.35,75876.66,75991.26,87.60975827
2026-08-23T08:00:00+00:00,1787472000,75991.26,76642.99,75932.97,76464.94,138.85061546
2026-08-23T09:00:00+00:00,1787475600,76464.94,76633.22,76449.66,76540.01,82.10844965
2026-08-23T10:00:00+00:00,1787479200,76540.0,76910.7,76533.7,76776.94,131.94996356
2026-08-23T11:00:00+00:00,1787482800,76776.94,77382.0,76729.57,77288.16,224.03384927
2026-08-23T12:00:00+00:00,1787486400,77288.16,77297.7,76981.9,77201.59,93.1413466
2026-08-23T13:00:00+00:00,1787490000,77201.58,77747.0,77183.49,77481.79,287.76437114
2026-08-23T14:00:00+00:00,1787493600,77481.79,77634.3,76778.19,77180.45,278.68386805
2026-08-23T15:00:00+00:00,1787497200,77180.45,77329.31,76910.17,77133.45,145.50316123
2026-08-23T16:00:00+00:00,1787500800,77133.44,77458.14,77133.44,77405.67,123.03459853
2026-08-23T17:00:00+00:00,1787504400,77405.67,77433.7,77132.44,77167.83,143.83626672
2026-08-23T18:00:00+00:00,1787508000,77167.83,77396.92,77100.0,77338.76,176.23465348
2026-08-23T19:00:00+00:00,1787511600,77338.76,77477.0,77232.76,77328.3,98.39994348
2026-08-23T20:00:00+00:00,1787515200,77328.3,77446.68,77176.53,77393.19,105.7390721
2026-08-23T21:00:00+00:00,1787518800,77393.18,78055.25,77393.18,77832.5,415.14131112
2026-08-23T22:00:00+00:00,1787522400,77832.5,77986.86,77552.22,77600.67,371.32907947
2026-08-23T23:00:00+00:00,1787526000,77600.67,77821.04,77275.01,77729.36,248.80073659
2026-08-24T00:00:00+00:00,1787529600,77729.36,77748.46,77141.08,77675.87,243.11311362
2026-08-24T01:00:00+00:00,1787533200,77675.88,77714.08,76900.85,76910.97,200.57736107
2026-08-24T02:00:00+00:00,1787536800,76910.97,77542.18,76862.25,77467.79,164.87768824
2026-08-24T03:00:00+00:00,1787540400,77467.42,77523.33,76914.69,76933.46,190.81000036
2026-08-24T04:00:00+00:00,1787544000,76933.46,77250.09,76652.0,76893.23,471.05806437
2026-08-24T05:00:00+00:00,1787547600,76893.23,77237.05,76835.48,77159.59,236.98958617
2026-08-24T06:00:00+00:00,1787551200,77159.59,77527.67,77056.65,77463.72,189.30130423
2026-08-24T07:00:00+00:00,1787554800,77463.72,77808.93,77262.05,77297.87,213.52784115
2026-08-24T08:00:00+00:00,1787558400,77297.87,77410.37,76813.5,77025.55,245.44970411
2026-08-24T09:00:00+00:00,1787562000,77025.55,77592.58,77007.89,77540.81,187.13867719
2026-08-24T10:00:00+00:00,1787565600,77540.78,78016.08,77514.57,77608.85,422.58369143
2026-08-24T11:00:00+00:00,1787569200,77608.86,78589.0,77430.92,78430.25,526.56136918
2026-08-24T12:00:00+00:00,1787572800,78430.25,79312.32,77952.37,79142.66,667.0178279
2026-08-24T13:00:00+00:00,1787576400,79139.82,79418.87,77828.35,78562.4,1278.28200238
2026-08-24T14:00:00+00:00,1787580000,78562.4,79829.96,78561.11,79486.09,1227.3029678
2026-08-24T15:00:00+00:00,1787583600,79486.1,79999.99,78800.24,79081.06,1207.33665065
2026-08-24T16:00:00+00:00,1787587200,79080.75,79879.02,78877.46,79041.04,874.6164708
2026-08-24T17:00:00+00:00,1787590800,79041.04,79192.93,78429.56,78754.8,811.11193252
2026-08-24T18:00:00+00:00,1787594400,78754.8,79096.92,78722.43,78931.82,491.6523856
2026-08-24T19:00:00+00:00,1787598000,78931.82,79115.96,78577.55,78746.35,552.45074535
2026-08-24T20:00:00+00:00,1787601600,78746.35,78993.62,78544.76,78929.26,259.15030598
2026-08-24T21:00:00+00:00,1787605200,78929.26,79038.44,78842.81,78970.31,201.56670727
2026-08-24T22:00:00+00:00,1787608800,78970.31,78988.01,78674.4,78734.62,188.9427153
2026-08-24T23:00:00+00:00,1787612400,78734.61,79009.58,78625.68,78981.59,165.19235339
2026-08-25T00:00:00+00:00,1787616000,78981.59,79882.31,78708.32,79731.32,417.35437353
2026-08-25T01:00:00+00:00,1787619600,79732.32,80000.0,79468.2,79821.9,390.15343486
2026-08-25T02:00:00+00:00,1787623200,79821.9,81265.3,79730.0,80634.4,981.6083836
2026-08-25T03:00:00+00:00,1787626800,80634.4,80939.04,80303.2,80468.97,425.91910502
2026-08-25T04:00:00+00:00,1787630400,80468.97,80596.32,80126.02,80348.07,338.89569037
2026-08-25T05:00:00+00:00,1787634000,80348.07,80799.99,80301.2,80702.0,366.72146872
2026-08-25T06:00:00+00:00,1787637600,80702.0,80891.43,80366.52,80533.77,440.71334654
2026-08-25T07:00:00+00:00,1787641200,80533.77,80779.52,79339.0,79663.37,477.91192493
2026-08-25T08:00:00+00:00,1787644800,79663.37,80235.98,79574.6,79905.81,293.79667518
2026-08-25T09:00:00+00:00,1787648400,79905.81,79943.76,78849.5,79177.83,325.33265795
2026-08-25T10:00:00+00:00,1787652000,79176.86,79477.13,78969.93,79294.88,184.16565853
2026-08-25T11:00:00+00:00,1787655600,79294.87,79469.28,79028.02,79119.22,175.77739339
2026-08-25T12:00:00+00:00,1787659200,79117.64,79167.95,78623.64,78971.29,396.20225303
2026-08-25T13:00:00+00:00,1787662800,78971.29,79219.71,78100.0,78634.34,941.33055124
2026-08-25T14:00:00+00:00,1787666400,78633.34,79379.75,78511.23,79238.97,816.13872332
2026-08-25T15:00:00+00:00,1787670000,79232.73,79544.85,79017.32,79507.16,570.81811453
2026-08-25T16:00:00+00:00,1787673600,79507.16,79575.0,79051.14,79153.3,408.20391427
2026-08-25T17:00:00+00:00,1787677200,79153.3,79267.79,78742.01,79236.99,422.13866783
2026-08-25T18:00:00+00:00,1787680800,79237.0,79390.08,79045.42,79120.81,272.21524336
2026-08-25T19:00:00+00:00,1787684400,79120.81,79233.95,78713.05,78928.78,750.66656642
2026-08-25T20:00:00+00:00,1787688000,78929.84,78988.64,78160.83,78184.85,487.32750703
