time,timestamp,open,high,low,close,volume,return_1h,return_4h,return_12h,return_24h,ema_9,ema_20,ema_50,ema_200,rsi_14,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,volatility_24h,volume_ma_24h,relative_volume,candle_range,body_size,upper_wick,lower_wick,price_vs_ema20,price_vs_ema50,ema20_vs_ema50,future_return_24h,target
2024-08-27T19:00:00+00:00,1724785200,62089.43,62201.58,61865.15,62109.68,378.6532796,0.00032614246901596644,0.006830956085830842,-0.012692318147113801,-0.019884563236471142,62094.39282530824,62392.92214775688,62809.83163888695,63195.79593120064,29.757037527067453,-333.737631307049,-298.63365091712905,-35.10398038991997,62481.437,63463.52739174717,61499.346608252825,0.031436229347515596,0.003189862439677748,389.07703368250003,0.9732090224297172,0.005416707991411327,0.00032603613478607524,0.0014796405326834956,0.0036110313239417565,-0.00453965190292116,-0.0111471663053061,-0.006637647009261394,-0.05160644846342799,-1
2024-08-27T20:00:00+00:00,1724788800,62104.62,62108.47,61831.52,61855.09,262.88690004,-0.0040990389903796665,0.004883151535118868,-0.015241407593782452,-0.02483479128373378,62046.53226024659,62341.700038446696,62772.39079030315,63182.455573676256,31.286090937029854,-335.0860707157699,-305.92413487685724,-29.161935838912655,62438.009999999995,63451.32320372435,61424.69679627564,0.03245821587601386,0.0032332766686119408,384.29018332749996,0.684084349393756,0.004477400323886108,0.0040341061665257645,6.224225039521477e-05,0.00038105190696512944,-0.0078055304578893425,-0.014613124954368506,-0.006861149407152878,-0.041054826692516255,-1
2024-08-27T21:00:00+00:00,1724792400,61860.56,61955.9,59812.68,60426.87,1653.26946546,-0.023089773210256292,-0.02432515826272119,-0.03597731406145299,-0.04338413543836661,61722.59980819728,62159.335272880344,62680.40958284028,63155.03681174913,17.12395923321135,-446.25597542955074,-333.990502987396,-112.26547244215476,62308.8755,63627.71212028679,60990.03887971321,0.0423322234498291,0.00552443328786083,437.1295841695833,3.782103809333157,0.035467996273843096,0.023726034461159333,0.0015777749203293796,0.010164186892354383,-0.02787136099951515,-0.03595285349662447,-0.008313192485943643,-0.021461809953088773,-1
2024-08-27T22:00:00+00:00,1724796000,60426.87,60450.44,58025.49,59520.16,3403.80064633,-0.015005079693851453,-0.04138015117871108,-0.04507546161781617,-0.05491302587390934,61282.111846557826,61907.985246891745,62556.47822665047,63118.868883274015,14.094767791863404,-600.5995078927081,-387.3123039684584,-213.28720392424964,62139.77150000001,63923.602215419705,60355.940784580314,0.057413494525633886,0.006143679616428527,566.0612885370833,6.013130936981593,0.040741657952532456,0.015233662006284914,0.00039600027956913605,0.02511199566667841,-0.03857055333603554,-0.04853723087878248,-0.010366519953523445,-0.005316013935446451,0
2024-08-27T23:00:00+00:00,1724799600,59524.97,59800.0,59155.59,59439.64,944.82722912,-0.0013528189440351612,-0.04298911216415868,-0.0477236869593749,-0.05411139401654996,60913.61747724626,61672.904747187764,62434.249276585746,63082.25964065438,14.249927228783946,-721.102736940571,-454.070390562881,-267.03234637769003,61962.35799999999,64067.81993473921,59856.89606526078,0.06795938704396029,0.006146904754641009,591.4956235741666,1.5973528652854516,0.01084141828584432,0.0014355739705018695,0.004627046866367273,0.004778797448975178,-0.03621144092924533,-0.04796420732664741,-0.012194341058305969,-0.006624535411048904,0
2024-08-28T00:00:00+00:00,1724803200,59437.68,59463.94,58986.87,59095.29,624.49299813,-0.005793271964634972,-0.04461718510150092,-0.05327460925240701,-0.05784646073577049,60549.951981797014,61427.41762840798,62303.3096971118,63042.58830094638,14.274953002224592,-834.7659193918444,-530.2094963286737,-304.55642306317066,61764.412,64161.81818835923,59367.00581164076,0.07763066499715846,0.006187015921010087,600.0954791491666,1.0406560619577154,0.00807289379576612,0.005793862759620934,0.00044436705531019537,0.0018346639808349912,-0.03796558146910367,-0.05149035761836118,-0.014058515879204148,0.0021394260016323052,0
2024-08-28T01:00:00+00:00,1724806800,59095.29,59459.71,58924.13,59383.16,531.0282837,0.004871285004270254,-0.017272283009197698,-0.045752740984827844,-0.057553171296546024,60316.593585437615,61232.726425702465,62188.79402271526,63006.17607904642,17.88632853001546,-891.3412797808342,-602.4358530191058,-288.90542676172834,61575.45449999999,64101.238863213046,59049.67013678694,0.08203867543399306,0.0062027515518176335,603.3639211970833,0.8801127562391063,0.009019055233840735,0.004847670619077911,0.0012890859967707282,0.0028822986179920956,-0.030205521355425202,-0.04511478421161308,-0.015373631407992527,-0.006240152932245557,0
2024-08-28T02:00:00+00:00,1724810400,59377.31,59435.62,59200.0,59352.49,308.3558195,-0.0005164763882555823,-0.002817028717664871,-0.040086163814755826,-0.05643280748030599,60123.7728683501,61053.65628992128,62077.56641398133,62969.82099368278,17.7320836628582,-927.9555788915168,-667.539798193588,-260.41578069792877,61404.0465,64047.98684133883,58760.10615866116,0.0861161598312201,0.00621366909752079,609.2586413870833,0.5061164480129068,0.003969841871840636,0.00041817959111740234,0.0009824356147485125,0.002569226665974721,-0.027863462948771955,-0.04389792595618858,-0.016494044196768698,-0.003547618642452899,0
2024-08-28T03:00:00+00:00,1724814000,59348.2,59670.27,59311.14,59640.71,320.6102466,0.004856072592742233,0.003382759384141565,-0.03319236114341961,-0.05314035661764305,60027.16029468008,60919.08997659544,61982.003417354616,62936.69551115857,23.314468960343603,-923.0750943897219,-718.6468574328148,-204.42823695690709,61240.6755,63897.059440032404,58584.29155996759,0.08675227431259823,0.0063451567210080296,613.2516525908333,0.5228037221677312,0.00602155809345659,0.00490453584472757,0.0004956346093129621,0.0006213876394160578,-0.020984883015924605,-0.03777376154800227,-0.0171487428956123,-0.008055739108404292,0
2024-08-28T04:00:00+00:00,1724817600,59640.71,59684.06,59295.16,59345.85,268.09347672,-0.004943938460826525,0.004239931811824471,-0.03588136758785021,-0.05881225060150619,59890.89823574406,60769.25759787206,61878.62485196816,62900.9657050774,23.82738698283181,-932.2535741174943,-761.3682007697507,-170.88537334774355,61067.346,63744.21935271187,58390.47264728812,0.08766954937625339,0.006327365772961308,617.8243950304167,0.43393151658700896,0.006553111969918608,0.004968502431088283,0.0007304638824786998,0.0008541456563516245,-0.02342315266201156,-0.040931337081703156,-0.017928117451705305,-0.0022535695419309,0
